iter	RMSE
0	13.81563548
1	12.88542257
2	12.08540333
3	11.3884216
4	10.73151651
5	10.20703734
6	9.67666986
7	9.246772765
8	8.819335237
9	8.400385504
10	8.02944145
11	7.719384185
12	7.463558326
13	7.20813438
14	6.983792705
15	6.812188192
16	6.620873432
17	6.458242963
18	6.318349465
19	6.202534514
20	6.105182914
21	6.007433522
22	5.915061981
23	5.834703551
24	5.762174229
25	5.704284449
26	5.64919396
27	5.594980997
28	5.540294074
29	5.49438382
30	5.458763934
31	5.420276734
32	5.392103328
33	5.364653295
34	5.331057076
35	5.293364175
36	5.267072744
37	5.248151082
38	5.230116793
39	5.212508369
40	5.18956405
41	5.171843859
42	5.153448326
43	5.144793458
44	5.121592225
45	5.10529641
46	5.092640071
47	5.076103649
48	5.061062071
49	5.053154393
50	5.041229822
51	5.026641571
52	5.009705622
53	4.999852576
54	4.989022495
55	4.974098825
56	4.96742826
57	4.95420104
58	4.93311833
59	4.912513811
60	4.903930987
61	4.893175955
62	4.882995382
63	4.867128363
64	4.861500265
65	4.851161679
66	4.845683691
67	4.837777816
68	4.831013632
69	4.813350204
70	4.803906458
71	4.798597047
72	4.784715083
73	4.768934708
74	4.763683508
75	4.749088185
76	4.74010366
77	4.734426278
78	4.718967713
79	4.706701053
80	4.695081535
81	4.682347993
82	4.675672552
83	4.671587386
84	4.665580276
85	4.657257214
86	4.649188111
87	4.638489319
88	4.626145392
89	4.625220184
90	4.621921468
91	4.609418093
92	4.593118403
93	4.589292825
94	4.575542593
95	4.565453889
96	4.555871381
97	4.547272245
98	4.538080624
99	4.526702772
